CustomerID,Gender,Age,Annual_income,Spending_score,Cluster,PCA1,PCA2,AggCluster,DBSCAN_Cluster
1,Male,19,15,39,1,-0.6157200190433818,-1.7634808784656535,4,0
2,Male,21,15,81,1,-1.6657927134346564,-1.8207469510592593,0,0
3,Female,20,16,6,0,0.3378619085157531,-1.6747989372314511,4,-1
4,Female,23,16,77,1,-1.4565732549230148,-1.7724299195461648,0,0
5,Female,31,17,40,1,-0.038465207779556004,-1.6627401215058215,4,0
6,Female,22,17,76,1,-1.4816852601022745,-1.7350017348931799,0,0
7,Female,35,18,6,0,1.0946166530075163,-1.5661023017675864,4,0
8,Female,23,18,94,1,-1.9263073593487228,-1.7211104867389235,0,0
9,Male,64,19,3,0,2.645177858255774,-1.4608472054985753,4,0
10,Female,30,19,72,1,-0.9701305133429793,-1.6355810828111508,0,0
11,Male,67,19,14,0,2.495688608705927,-1.470489137131,4,0
12,Female,35,19,99,1,-1.4568825612655683,-1.6643604984081894,0,0
13,Female,58,20,15,0,2.0101872917398222,-1.453298972370078,4,0
14,Female,24,20,77,1,-1.413210723238557,-1.6177674604363865,0,0
15,Male,37,20,13,0,1.0004296462275988,-1.4957917642959666,4,0
16,Male,22,20,79,1,-1.5694316990324912,-1.6250266916764595,0,0
17,Female,35,21,35,0,0.2940603180587673,-1.4942558471798575,4,0
18,Male,20,21,66,1,-1.3162492440994518,-1.5721638283290151,0,0
19,Male,52,23,29,0,1.3166990992703929,-1.3724340437637672,4,0
20,Female,35,23,98,1,-1.4367989870151134,-1.5103946865623714,0,0
21,Male,35,24,35,0,0.288561174822997,-1.3798813514290227,4,0
22,Male,25,24,73,1,-1.2601851306281706,-1.4572390646144557,0,0
23,Female,46,25,5,0,1.6668430333425373,-1.2739675483089512,4,0
24,Male,31,25,73,1,-0.9578498423805168,-1.4061354440455207,0,0
25,Female,54,28,14,0,1.8201597843473094,-1.1554863586244732,4,0
26,Male,29,28,82,1,-1.3114803180305956,-1.3092855687810256,0,0
27,Female,45,28,32,0,0.8704235061912671,-1.2013512568071447,4,0
28,Male,35,28,61,1,-0.43158091217656264,-1.2655106123902344,0,0
29,Female,40,29,31,0,0.6425326103500668,-1.1725755979221533,4,0
30,Female,23,29,87,1,-1.7545605279261731,-1.2914719464062614,0,0
31,Male,60,30,4,0,2.3948196771645267,-1.0515930643582114,4,0
32,Female,21,30,73,1,-1.473962307761652,-1.237142598880779,0,0
33,Male,53,33,4,0,2.0344574752703606,-0.952360488701365,4,0
34,Male,18,33,92,1,-2.152445158392036,-1.1571206968386638,0,0
35,Female,49,33,14,0,1.5575209322936001,-0.9756778562497398,4,0
36,Female,21,33,81,1,-1.6987875728492785,-1.1344999765542494,0,0
37,Female,42,34,17,0,1.1185775301955014,-0.9570943969608973,4,0
38,Female,30,34,73,1,-1.0250419947533131,-1.065175088235014,0,0
39,Female,36,37,26,0,0.5621681638834821,-0.8688970474643959,4,0
40,Female,20,37,75,1,-1.5923198951068984,-0.9753648752602386,0,0
41,Female,65,38,35,4,1.7837401863539555,-0.7812397613318429,1,0
42,Male,24,38,92,1,-1.8574420611254092,-0.953517748601949,0,0
43,Male,48,39,36,0,0.8926810880639697,-0.7813546481069076,4,0
44,Female,31,39,61,1,-0.6545233280363276,-0.854789987071833,0,0
45,Female,49,39,28,0,1.162701932581311,-0.767459643240604,4,0
46,Female,24,39,65,1,-1.1190494476206514,-0.8757978438779739,0,0
47,Female,50,40,55,4,0.47133794625152475,-0.766766752688691,1,0
48,Female,27,40,47,1,-0.47531455320277666,-0.8047869024303471,0,0
49,Female,29,40,42,1,-0.23684628171439637,-0.7931282186561597,0,0
50,Female,31,40,42,1,-0.1354568363834261,-0.788801955772163,0,0
51,Female,49,42,52,4,0.49922442378997217,-0.6882807677626847,1,0
52,Male,33,42,60,1,-0.5312172607096458,-0.7346227442589631,0,0
53,Female,31,43,54,1,-0.46994516239698075,-0.6920252701577858,0,0
54,Male,59,43,60,4,0.7850124808477104,-0.6402564948500615,1,0
55,Female,50,43,45,4,0.7399964553305747,-0.6377274151574742,1,0
